recipient_condensed,year,aid
Timor-Leste,2014,NA
Togo,2001,NA
Togo,2003,NA
Togo,2004,NA
Togo,2005,NA
Togo,2006,NA
Togo,2007,NA
Togo,2008,NA
Togo,2009,NA
Togo,2010,NA
Togo,2011,NA
Togo,2012,17010047
Togo,2013,NA
Togo,2014,1669489
Tonga,2001,9548660
Tonga,2002,9011260
Tonga,2003,NA
Tonga,2005,NA
Tonga,2006,113671820
Tonga,2007,NA
Tonga,2008,NA
Tonga,2009,169062
Tonga,2010,NA
Tonga,2011,NA
Tonga,2012,NA
Tonga,2013,NA
Tonga,2014,NA
Trinidad & Tobago,2007,44919880
Trinidad & Tobago,2010,NA
Trinidad & Tobago,2011,NA
Trinidad & Tobago,2012,NA
Trinidad & Tobago,2013,NA
Trinidad & Tobago,2014,NA
Tunisia,2000,NA
Tunisia,2002,NA
Tunisia,2004,NA
Tunisia,2006,NA
Tunisia,2007,NA
Tunisia,2008,NA
Tunisia,2009,NA
Tunisia,2010,NA
Tunisia,2011,2219975
Tunisia,2012,NA
Tunisia,2014,NA
Turkey,2002,11301
Turkey,2003,66099
Turkey,2007,1171822962
Turkey,2008,NA
Turkey,2010,NA
Turkey,2011,NA
Turkey,2012,635421261
Turkey,2013,NA
Turkmenistan,2000,28030202
Turkmenistan,2003,70091716
Turkmenistan,2005,47139052
Turkmenistan,2006,551823298
Turkmenistan,2009,5428395150
Turkmenistan,2011,4550948036
Turkmenistan,2013,NA
Uganda,2000,NA
Uganda,2001,302873645
Uganda,2002,NA
Uganda,2003,NA
Uganda,2004,NA
Uganda,2005,NA
Uganda,2006,NA
Uganda,2007,NA
Uganda,2008,31250102
Uganda,2009,NA
Uganda,2010,NA
Uganda,2011,NA
Uganda,2012,NA
Uganda,2013,NA
Uganda,2014,NA
Ukraine,2000,1401510
Ukraine,2001,824020
Ukraine,2002,NA
Ukraine,2006,7298414
Ukraine,2007,NA
Ukraine,2009,NA
Ukraine,2010,NA
Ukraine,2011,NA
Ukraine,2012,NA
Ukraine,2013,NA
Ukraine,2014,52000000
United Arab Emirates,2012,31771063
Uruguay,2006,52683693
Uruguay,2007,81377
Uruguay,2009,NA
Uruguay,2010,14463528
Uruguay,2011,NA
Uruguay,2014,31000000
Uzbekistan,2000,NA
Uzbekistan,2001,NA
Uzbekistan,2003,71166388
Uzbekistan,2004,62246095
Uzbekistan,2006,362363966
Uzbekistan,2007,362239773
Uzbekistan,2009,100112585
Uzbekistan,2010,141042179
Uzbekistan,2011,148927000
Uzbekistan,2012,333618405
Uzbekistan,2013,NA
Uzbekistan,2014,NA
Vanuatu,2000,11602407
Vanuatu,2001,682047
Vanuatu,2003,NA
Vanuatu,2004,NA
Vanuatu,2005,561740
Vanuatu,2006,7666023
Vanuatu,2007,NA
Vanuatu,2008,56048005
Vanuatu,2009,NA
Vanuatu,2010,NA
Vanuatu,2012,NA
Vanuatu,2013,NA
Vanuatu,2014,NA
Venezuela,2004,NA
Venezuela,2008,802527421
Venezuela,2009,NA
Venezuela,2010,NA
Venezuela,2011,NA
Venezuela,2012,NA
Venezuela,2013,NA
Venezuela,2014,NA
Viet Nam,2000,124377804
Viet Nam,2002,NA
Viet Nam,2003,270173229
Viet Nam,2004,721121657
Viet Nam,2005,NA
Viet Nam,2006,NA
Viet Nam,2009,NA
Viet Nam,2010,377328084
Viet Nam,2011,380731203
Viet Nam,2012,10590
Viet Nam,2013,305026009
Yemen,2000,162433702
Yemen,2002,189854803
Yemen,2003,8813175
Yemen,2007,64434969
Yemen,2008,NA
Yemen,2009,NA
Yemen,2010,10061585
Yemen,2011,NA
Yemen,2013,NA
Yemen,2014,NA
Zambia,2000,5849458
Zambia,2001,NA
Zambia,2002,NA
Zambia,2003,NA
Zambia,2004,44513153
Zambia,2005,NA
Zambia,2006,NA
Zambia,2007,NA
Zambia,2009,NA
Zambia,2010,NA
Zambia,2011,NA
Zambia,2012,NA
Zambia,2013,NA
Zambia,2014,NA
Zimbabwe,2000,7007611
Zimbabwe,2001,1392393
Zimbabwe,2002,NA
Zimbabwe,2003,158460888
Zimbabwe,2004,1741911923
Zimbabwe,2005,NA
Zimbabwe,2006,NA
Zimbabwe,2007,NA
Zimbabwe,2008,NA
Zimbabwe,2009,NA
Zimbabwe,2010,NA
Zimbabwe,2011,NA
Zimbabwe,2012,NA
Zimbabwe,2013,NA
Zimbabwe,2014,NA
